WorkDate,Member,Project,WorkType,Hours,HourlyRate
2026-02-13,Sato,PJ-Alpha,Meeting,1.5,4500
2026-02-14,Watanabe,PJ-Omega,Design,1,
2026-02-15,Yamada,PJ-Beta,Dev,6,5000
2026-02-18,Kato,PJ-Delta,Design,1.5,6000
2026-02-18,Kato,PJ-Omega,Test,6,3500
2026-02-18,Kobayashi,PJ-Omega,Design,1,3500
2026-02-20,Tanaka,PJ-Gamma,Meeting,6,3500
2026-02-21,Kato,PJ-Omega,Test,3.5,5000
2026-02-21,Sato,PJ-Omega,Test,1,5000
2026-02-23,Kobayashi,PJ-Alpha,Meeting,6,5000
2026-02-23,Watanabe,PJ-Gamma,Support,8,4000
2026-02-23,Watanabe,PJ-Omega,Dev,7.5,4500
2026-02-23,Yamada,PJ-Delta,Support,4,3500
2026-02-24,Ito,PJ-Alpha,Support,6,
2026-02-24,Yamada,PJ-Beta,Support,8,
2026-02-25,Ito,PJ-Gamma,Meeting,1.5,6000
2026-02-25,Kobayashi,PJ-Alpha,Meeting,6,5000
2026-02-25,Tanaka,PJ-Alpha,Design,6,3500
2026-02-27,Sato,PJ-Beta,Test,1.5,
2026-02-27,Tanaka,PJ-Delta,Meeting,4,4500
2026-02-28,Ito,PJ-Gamma,Test,3.5,
2026-03-03,Kobayashi,PJ-Delta,Support,4,
2026-03-04,Sato,PJ-Omega,Test,2,6000
2026-03-05,Watanabe,PJ-Beta,Test,1,3500
2026-03-07,Ito,PJ-Alpha,Test,4,
2026-03-07,Sato,PJ-Beta,Dev,1.5,4000
2026-03-07,Yamada,PJ-Gamma,Meeting,3.5,6000
2026-03-08,Kobayashi,PJ-Beta,Design,8,
2026-03-14,Ito,PJ-Beta,Meeting,7.5,5000
2026-03-14,Suzuki,PJ-Alpha,Meeting,2,4000
2026-03-15,Kobayashi,PJ-Beta,Meeting,7.5,
2026-03-15,Watanabe,PJ-Delta,Test,1.5,4000
2026-03-16,Watanabe,PJ-Gamma,Test,2,3500
2026-03-17,Yamada,PJ-Omega,Test,1,
2026-03-18,Ito,PJ-Delta,Support,7.5,6000
2026-03-19,Kato,PJ-Alpha,Meeting,1.5,5000
2026-03-21,Ito,PJ-Alpha,Design,4,4500
2026-03-21,Tanaka,PJ-Beta,Test,2,3500
2026-03-22,Suzuki,PJ-Beta,Dev,1,3500
2026-03-23,Sato,PJ-Alpha,Design,3.5,
2026-03-23,Yamada,PJ-Beta,Design,2,6000
2026-03-26,Ito,PJ-Gamma,Test,6,
2026-03-26,Yamada,PJ-Gamma,Dev,3.5,5000
2026-03-27,Sato,PJ-Omega,Test,8,4500
2026-03-28,Sato,PJ-Alpha,Meeting,6,3500
2026-03-28,Tanaka,PJ-Omega,Support,4,3500
2026-03-28,Yamada,PJ-Omega,Meeting,2,4500
2026-03-29,Kato,PJ-Gamma,Dev,4,5000
2026-03-29,Kato,PJ-Omega,Meeting,4,3500
2026-03-29,Yamada,PJ-Gamma,Meeting,1.5,4500
2026-03-30,Yamada,PJ-Gamma,Meeting,6,6000
2026-03-31,Sato,PJ-Delta,Dev,8,
2026-03-31,Sato,PJ-Omega,Test,3.5,
